,movieId,title,genres
350,355,"Flintstones, The (1994)",Children|Comedy|Fantasy
351,356,Forrest Gump (1994),Comedy|Drama|Romance|War
352,357,Four Weddings and a Funeral (1994),Comedy|Romance
357,362,"Jungle Book, The (1994)",Adventure|Children|Romance
359,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
372,377,Speed (1994),Action|Romance|Thriller
375,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
403,408,8 Seconds (1994),Drama
423,428,"Bronx Tale, A (1993)",Drama
426,431,Carlito's Way (1993),Crime|Drama
429,434,Cliffhanger (1993),Action|Adventure|Thriller
449,454,"Firm, The (1993)",Drama|Thriller
452,457,"Fugitive, The (1993)",Thriller
469,474,In the Line of Fire (1993),Action|Thriller
470,475,In the Name of the Father (1993),Drama
475,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
486,491,"Man Without a Face, The (1993)",Drama
492,497,Much Ado About Nothing (1993),Comedy|Romance
495,500,Mrs. Doubtfire (1993),Comedy|Drama
503,508,Philadelphia (1993),Drama
504,509,"Piano, The (1993)",Drama|Romance
509,514,"Ref, The (1994)",Comedy
510,515,"Remains of the Day, The (1993)",Drama|Romance
514,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
522,527,Schindler's List (1993),Drama|War
530,535,Short Cuts (1993),Drama
533,538,Six Degrees of Separation (1993),Drama
534,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
536,541,Blade Runner (1982),Action|Sci-Fi|Thriller
538,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
549,555,True Romance (1993),Crime|Thriller
578,586,Home Alone (1990),Children|Comedy
579,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
580,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
581,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
582,590,Dances with Wolves (1990),Adventure|Drama|Western
584,592,Batman (1989),Action|Crime|Thriller
585,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
586,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
587,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
589,597,Pretty Woman (1990),Comedy|Romance
600,608,Fargo (1996),Comedy|Crime|Drama|Thriller
602,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
608,616,"Aristocats, The (1970)",Animation|Children
618,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
636,647,Courage Under Fire (1996),Action|Crime|Drama|War
637,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
654,665,Underground (1995),Comedy|Drama|War
656,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
659,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
718,733,"Rock, The (1996)",Action|Adventure|Thriller
725,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
729,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
734,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
762,778,Trainspotting (1996),Comedy|Crime|Drama
764,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
767,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
770,786,Eraser (1996),Action|Drama|Thriller
784,800,Lone Star (1996),Drama|Mystery|Western
786,802,Phenomenon (1996),Drama|Romance
789,805,"Time to Kill, A (1996)",Drama|Thriller
820,838,Emma (1996),Comedy|Drama|Romance
833,851,Basquiat (1996),Drama
840,858,"Godfather, The (1972)",Crime|Drama
887,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
890,911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
891,912,Casablanca (1942),Drama|Romance
892,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
893,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
898,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
899,920,Gone with the Wind (1939),Drama|Romance|War
902,923,Citizen Kane (1941),Drama|Mystery
903,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
932,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
948,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
972,994,Big Night (1996),Comedy|Drama
985,1008,"Davy Crockett, King of the Wild Frontier (1955)",Adventure|Western
1005,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1008,1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1011,1034,Freeway (1996),Comedy|Crime|Drama|Thriller
1012,1035,"Sound of Music, The (1965)",Musical|Romance
1013,1036,Die Hard (1988),Action|Crime|Thriller
1018,1041,Secrets & Lies (1996),Drama
1026,1050,Looking for Richard (1996),Documentary|Drama
1036,1060,Swingers (1996),Comedy|Drama
1037,1061,Sleepers (1996),Thriller
1047,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1052,1079,"Fish Called Wanda, A (1988)",Comedy|Crime
1061,1088,Dirty Dancing (1987),Drama|Musical|Romance
1062,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
1063,1090,Platoon (1986),Drama|War
1065,1092,Basic Instinct (1992),Crime|Mystery|Thriller
1066,1093,"Doors, The (1991)",Drama
1067,1094,"Crying Game, The (1992)",Drama|Romance|Thriller
1068,1095,Glengarry Glen Ross (1992),Drama
1070,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1074,1101,Top Gun (1986),Action|Romance
1076,1103,Rebel Without a Cause (1955),Drama
1096,1124,On Golden Pond (1981),Drama
1097,1125,"Return of the Pink Panther, The (1975)",Comedy|Crime
1099,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1108,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1119,1147,When We Were Kings (1996),Documentary
1120,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1144,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
1154,1183,"English Patient, The (1996)",Drama|Romance|War
1164,1193,One Flew Over the Cuckoo's Nest (1975),Drama
1166,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1167,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1168,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1170,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1171,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1173,1203,12 Angry Men (1957),Drama
1175,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1176,1207,To Kill a Mockingbird (1962),Drama
1177,1208,Apocalypse Now (1979),Action|Drama|War
1178,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1179,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1182,1213,Goodfellas (1990),Crime|Drama
1183,1214,Alien (1979),Horror|Sci-Fi
1184,1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1186,1217,Ran (1985),Drama|War
1188,1219,Psycho (1960),Crime|Horror
1189,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1190,1221,"Godfather: Part II, The (1974)",Crime|Drama
1191,1222,Full Metal Jacket (1987),Drama|War
1194,1225,Amadeus (1984),Drama
1197,1228,Raging Bull (1980),Drama
1198,1230,Annie Hall (1977),Comedy|Romance
1199,1231,"Right Stuff, The (1983)",Drama
1202,1234,"Sting, The (1973)",Comedy|Crime
1205,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1207,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1209,1242,Glory (1989),Drama|War
1210,1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama
1213,1246,Dead Poets Society (1989),Drama
1214,1247,"Graduate, The (1967)",Comedy|Drama|Romance
1216,1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
1217,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1219,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1220,1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
1224,1257,Better Off Dead... (1985),Comedy|Romance
1225,1258,"Shining, The (1980)",Horror
1226,1259,Stand by Me (1986),Adventure|Drama
1229,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
1232,1265,Groundhog Day (1993),Comedy|Fantasy|Romance
1236,1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
1237,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1241,1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1243,1276,Cool Hand Luke (1967),Drama
1245,1278,Young Frankenstein (1974),Comedy|Fantasy
1248,1281,"Great Dictator, The (1940)",Comedy|Drama|War
1254,1287,Ben-Hur (1959),Action|Adventure|Drama
1255,1288,This Is Spinal Tap (1984),Comedy
1258,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1260,1293,Gandhi (1982),Drama
1266,1300,My Life as a Dog (Mitt liv som hund) (1985),Comedy|Drama
1267,1301,Forbidden Planet (1956),Drama|Sci-Fi
1268,1302,Field of Dreams (1989),Children|Drama|Fantasy
1270,1304,Butch Cassidy and the Sundance Kid (1969),Action|Western
1273,1307,When Harry Met Sally... (1989),Comedy|Romance
1299,1333,"Birds, The (1963)",Horror|Thriller
1321,1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1322,1357,Shine (1996),Drama|Romance
1331,1367,101 Dalmatians (1996),Adventure|Children|Comedy
1335,1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
1336,1372,Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi
1337,1373,Star Trek V: The Final Frontier (1989),Action|Sci-Fi
1338,1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1339,1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1340,1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1344,1380,Grease (1978),Comedy|Musical|Romance
1349,1385,Under Siege (1992),Action|Drama|Thriller
1355,1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1357,1393,Jerry Maguire (1996),Drama|Romance
1358,1394,Raising Arizona (1987),Comedy
1360,1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1366,1404,Night Falls on Manhattan (1996),Crime|Drama
1369,1407,Scream (1996),Comedy|Horror|Mystery|Thriller
1422,1464,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
1435,1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller
1440,1485,Liar Liar (1997),Comedy
1443,1488,"Devil's Own, The (1997)",Action|Drama|Thriller
1452,1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1462,1513,Romy and Michele's High School Reunion (1997),Comedy
1466,1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1475,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1497,1552,Con Air (1997),Action|Adventure|Thriller
1517,1573,Face/Off (1997),Action|Crime|Drama|Thriller
1523,1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1527,1584,Contact (1997),Drama|Sci-Fi
1537,1594,In the Company of Men (1997),Comedy|Drama
1550,1608,Air Force One (1997),Action|Thriller
1552,1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1559,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1566,1625,"Game, The (1997)",Drama|Mystery|Thriller
1579,1641,"Full Monty, The (1997)",Comedy|Drama
1583,1645,The Devil's Advocate (1997),Drama|Mystery|Thriller
1591,1653,Gattaca (1997),Drama|Sci-Fi|Thriller
1601,1663,Stripes (1981),Comedy|War
1612,1674,Witness (1985),Drama|Romance|Thriller
1614,1676,Starship Troopers (1997),Action|Sci-Fi
1640,1704,Good Will Hunting (1997),Drama|Romance
1655,1721,Titanic (1997),Drama|Romance
1663,1729,Jackie Brown (1997),Crime|Drama|Thriller
1666,1732,"Big Lebowski, The (1998)",Comedy|Crime
1683,1754,Fallen (1998),Crime|Drama|Fantasy|Thriller
1707,1784,As Good as It Gets (1997),Comedy|Drama|Romance
1752,1840,He Got Game (1998),Drama
1794,1883,Bulworth (1998),Comedy|Drama|Romance
1820,1909,"X-Files: Fight the Future, The (1998)",Action|Crime|Mystery|Sci-Fi|Thriller
1834,1923,There's Something About Mary (1998),Comedy|Romance
1865,1954,Rocky (1976),Drama
1866,1955,Kramer vs. Kramer (1979),Drama
1868,1957,Chariots of Fire (1981),Drama
1869,1958,Terms of Endearment (1983),Comedy|Drama
1870,1959,Out of Africa (1985),Drama|Romance
1872,1961,Rain Man (1988),Drama
1873,1962,Driving Miss Daisy (1989),Drama
1879,1968,"Breakfast Club, The (1985)",Comedy|Drama
1916,2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
1921,2010,Metropolis (1927),Drama|Sci-Fi
1930,2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
1932,2021,Dune (1984),Adventure|Sci-Fi
1939,2028,Saving Private Ryan (1998),Action|Drama|War
1989,2078,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
1991,2080,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
2015,2105,Tron (1982),Action|Adventure|Sci-Fi
2018,2108,L.A. Story (1991),Comedy|Romance
2019,2109,"Jerk, The (1979)",Comedy
2022,2112,Grand Canyon (1991),Crime|Drama
2025,2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2026,2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
2036,2126,Snake Eyes (1998),Action|Crime|Mystery|Thriller
2055,2145,Pretty in Pink (1986),Comedy|Drama|Romance
2060,2150,"Gods Must Be Crazy, The (1980)",Adventure|Comedy
2075,2165,Your Friends and Neighbors (1998),Comedy|Drama
2076,2166,Return to Paradise (1998),Crime|Drama|Romance|Thriller
2104,2194,"Untouchables, The (1987)",Action|Crime|Drama
2152,2243,Broadcast News (1987),Comedy|Drama|Romance
2157,2248,Say Anything... (1989),Comedy|Drama|Romance
2177,2268,"Few Good Men, A (1992)",Crime|Drama|Thriller
2182,2273,Rush Hour (1998),Action|Comedy|Crime|Thriller
2219,2310,"Mighty, The (1998)",Drama
2220,2311,2010: The Year We Make Contact (1984),Sci-Fi
2233,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
2238,2329,American History X (1998),Crime|Drama
2242,2333,Gods and Monsters (1998),Drama
2261,2352,"Big Chill, The (1983)",Comedy|Drama
2268,2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
2280,2371,Fletch (1985),Comedy|Crime|Mystery
2296,2387,Very Bad Things (1998),Comedy|Crime
2304,2395,Rushmore (1998),Comedy|Drama
2305,2396,Shakespeare in Love (1998),Comedy|Drama|Romance
2316,2407,Cocoon (1985),Comedy|Sci-Fi
2318,2409,Rocky II (1979),Action|Drama
2329,2420,"Karate Kid, The (1984)",Drama
2333,2424,You've Got Mail (1998),Comedy|Romance
2336,2427,"Thin Red Line, The (1998)",Action|Drama|War
2379,2470,Crocodile Dundee (1986),Adventure|Comedy
2383,2474,"Color of Money, The (1986)",Drama
2399,2490,Payback (1999),Action|Thriller
2411,2502,Office Space (1999),Comedy|Crime
2414,2505,8MM (1999),Drama|Mystery|Thriller
2448,2539,Analyze This (1999),Comedy
2450,2541,Cruel Intentions (1999),Drama
2451,2542,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
2480,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2492,2583,Cookie's Fortune (1999),Comedy|Drama
2526,2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
2541,2632,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Adventure|Drama|Mystery
2549,2640,Superman (1978),Action|Adventure|Sci-Fi
2580,2672,"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller
2585,2677,Buena Vista Social Club (1999),Documentary|Musical
2600,2692,Run Lola Run (Lola rennt) (1998),Action|Crime
2608,2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
2620,2712,Eyes Wide Shut (1999),Drama|Mystery|Thriller
2624,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
2631,2723,Mystery Men (1999),Action|Comedy|Fantasy
2642,2734,"Mosquito Coast, The (1986)",Adventure|Drama|Thriller
2653,2745,"Mission, The (1986)",Drama
2669,2761,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
2670,2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery
2678,2770,Bowfinger (1999),Comedy
2696,2788,Monty Python's And Now for Something Completely Different (1971),Comedy
2705,2797,Big (1988),Comedy|Drama|Fantasy|Romance
2727,2819,Three Days of the Condor (3 Days of the Condor) (1975),Drama|Mystery|Romance|Thriller
2766,2858,American Beauty (1999),Drama|Romance
2771,2863,"Hard Day's Night, A (1964)",Adventure|Comedy|Musical
2780,2872,Excalibur (1981),Adventure|Fantasy
2789,2881,Double Jeopardy (1999),Action|Crime|Drama|Thriller
2816,2908,Boys Don't Cry (1999),Drama
2824,2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
2826,2918,Ferris Bueller's Day Off (1986),Comedy
2830,2922,Hang 'Em High (1968),Crime|Drama|Western
2837,2929,Reds (1981),Drama|Romance
2852,2944,"Dirty Dozen, The (1967)",Action|Drama|War
2856,2948,From Russia with Love (1963),Action|Adventure|Thriller
2867,2959,Fight Club (1999),Action|Crime|Drama|Thriller
2881,2973,Crimes and Misdemeanors (1989),Comedy|Crime|Drama
2893,2985,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller
2895,2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
2905,2997,Being John Malkovich (1999),Comedy|Drama|Fantasy
2908,3000,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy
2928,3020,Falling Down (1993),Action|Drama
2940,3033,Spaceballs (1987),Comedy|Sci-Fi
2944,3037,Little Big Man (1970),Western
2951,3044,Dead Again (1991),Mystery|Romance|Thriller
2967,3060,"Commitments, The (1991)",Comedy|Drama|Musical
2975,3068,"Verdict, The (1982)",Drama|Mystery
2979,3072,Moonstruck (1987),Comedy|Romance
3005,3098,"Natural, The (1984)",Drama
3007,3100,"River Runs Through It, A (1992)",Drama
3012,3105,Awakenings (1990),Drama|Mystery
3015,3108,"Fisher King, The (1991)",Comedy|Drama|Fantasy|Romance
3074,3167,Carnal Knowledge (1971),Comedy|Drama
3105,3198,Papillon (1973),Crime|Drama
3205,3298,Boiler Room (2000),Crime|Drama|Thriller
3266,3360,Hoosiers (a.k.a. Best Shot) (1986),Drama|Romance
3271,3365,"Searchers, The (1956)",Drama|Western
3325,3421,Animal House (1978),Comedy
3384,3481,High Fidelity (2000),Comedy|Drama|Romance
3410,3508,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western
3453,3552,Caddyshack (1980),Comedy
3470,3569,"Idiots, The (Idioterne) (1998)",Comedy|Drama
3479,3578,Gladiator (2000),Action|Adventure|Drama
3570,3671,Blazing Saddles (1974),Comedy|Western
3616,3717,Gone in 60 Seconds (2000),Action|Crime
3692,3793,X-Men (2000),Action|Adventure|Sci-Fi
3770,3873,Cat Ballou (1965),Comedy|Western
3794,3897,Almost Famous (2000),Drama
3845,3949,Requiem for a Dream (2000),Drama
3863,3967,Billy Elliot (2000),Drama
3907,4011,Snatch (2000),Comedy|Crime|Thriller
3912,4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
3918,4022,Cast Away (2000),Drama
3921,4025,Miss Congeniality (2000),Comedy|Crime
3923,4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
4040,4144,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
4044,4148,Hannibal (2001),Horror|Thriller
4122,4226,Memento (2000),Mystery|Thriller
4131,4235,Amores Perros (Love's a Bitch) (2000),Drama|Thriller
4135,4239,Blow (2001),Crime|Drama
4220,4325,"Night, The (Notte, La) (1960)",Drama
4418,4523,Milagro Beanfield War (1988),Comedy|Drama|Fantasy
4605,4710,"Shootist, The (1976)",Drama|Western
4615,4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller
4772,4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
4780,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
4790,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
4867,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
4887,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
4889,4995,"Beautiful Mind, A (2001)",Drama|Romance
4954,5060,M*A*S*H (a.k.a. MASH) (1970),Comedy|Drama|War
4958,5064,The Count of Monte Cristo (2002),Action|Adventure|Drama|Thriller
4997,5103,"Sandlot, The (1993)",Children|Comedy|Drama
5183,5291,Rashomon (Rashômon) (1950),Crime|Drama|Mystery
5241,5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
5310,5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller
5508,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
5579,5690,Grave of the Fireflies (Hotaru no haka) (1988),Animation|Drama|War
5655,5767,Teddy Bear (Mis) (1981),Comedy|Crime
5704,5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
5840,5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
5859,5971,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy
5877,5989,Catch Me If You Can (2002),Crime|Drama
5904,6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
6171,6283,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Action|Animation|Sci-Fi|Thriller
6199,6311,"Other Side of Heaven, The (2001)",Adventure|Drama
6221,6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
6238,6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi
6379,6502,28 Days Later (2002),Action|Horror|Sci-Fi
6416,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
6546,6669,Ikiru (1952),Drama
6588,6711,Lost in Translation (2003),Comedy|Drama|Romance
6649,6772,To Be and to Have (Être et avoir) (2002),Documentary
6751,6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
6756,6879,Runaway Jury (2003),Drama|Thriller
6897,7022,Battle Royale (Batoru rowaiaru) (2000),Action|Drama|Horror|Thriller
6950,7075,"Court Jester, The (1956)",Adventure|Comedy|Musical
6965,7090,Hero (Ying xiong) (2002),Action|Adventure|Drama
6974,7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Adventure|Animation|Drama|Fantasy|Sci-Fi
7018,7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War
7028,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
